"participant","block","trial","correct","latency"
4,"test.sc_dark.Darkgood","darkright",1,490
4,"test.sc_dark.Darkgood","goodright",1,620
4,"test.sc_dark.Darkgood","darkright",1,496
4,"test.sc_dark.Darkgood","darkright",1,458
4,"test.sc_dark.Darkgood","goodright",1,675
4,"test.sc_dark.Darkgood","goodright",1,703
4,"test.sc_dark.Darkgood","goodright",1,947
4,"test.sc_dark.Darkgood","badleft",1,703
4,"test.sc_dark.Darkgood","darkright",1,499
4,"test.sc_dark.Darkgood","darkright",1,495
4,"test.sc_dark.Darkgood","badleft",1,785
4,"test.sc_dark.Darkgood","badleft",1,1421
4,"test.sc_dark.Darkgood","badleft",1,829
4,"test.sc_dark.Darkgood","goodright",1,505
4,"test.sc_dark.Darkgood","badleft",1,549
4,"test.sc_dark.Darkgood","darkright",1,458
4,"test.sc_dark.Darkgood","badleft",1,579
4,"test.sc_dark.Darkgood","darkright",1,488
6,"test.sc_dark.Darkbad","goodright",1,648
6,"test.sc_dark.Darkbad","goodright",1,647
6,"test.sc_dark.Darkbad","badleft",1,502
6,"test.sc_dark.Darkbad","goodright",1,591
6,"test.sc_dark.Darkbad","goodright",1,548
6,"test.sc_dark.Darkbad","goodright",1,536
6,"test.sc_dark.Darkbad","goodright",1,1170
6,"test.sc_dark.Darkbad","darkleft",1,778
6,"test.sc_dark.Darkbad","goodright",1,1505
6,"test.sc_dark.Darkbad","darkleft",1,459
6,"test.sc_dark.Darkbad","badleft",1,653
6,"test.sc_dark.Darkbad","goodright",1,583
6,"test.sc_dark.Darkbad","darkleft",1,539
6,"test.sc_dark.Darkbad","badleft",1,533
6,"test.sc_dark.Darkbad","badleft",1,790
6,"test.sc_dark.Darkbad","badleft",1,466
6,"test.sc_dark.Darkbad","goodright",1,622
6,"test.sc_dark.Darkbad","goodright",1,467
6,"test.sc_dark.Darkbad","goodright",1,495
6,"test.sc_dark.Darkbad","goodright",1,601
6,"test.sc_dark.Darkbad","darkleft",1,511
6,"test.sc_dark.Darkbad","badleft",1,644
6,"test.sc_dark.Darkbad","darkleft",1,554
6,"test.sc_dark.Darkbad","goodright",1,593
6,"test.sc_dark.Darkbad","darkleft",1,640
6,"test.sc_dark.Darkbad","darkleft",1,527
6,"test.sc_dark.Darkbad","goodright",0,510
6,"test.sc_dark.Darkbad","darkleft",1,530
6,"test.sc_dark.Darkbad","goodright",1,596
6,"test.sc_dark.Darkbad","goodright",1,1179
6,"test.sc_dark.Darkbad","darkleft",1,550
6,"test.sc_dark.Darkbad","goodright",1,666
6,"test.sc_dark.Darkbad","badleft",1,662
6,"test.sc_dark.Darkbad","darkleft",1,647
6,"test.sc_dark.Darkbad","darkleft",1,425
6,"test.sc_dark.Darkbad","badleft",1,741
6,"test.sc_dark.Darkbad","darkleft",1,409
6,"test.sc_dark.Darkbad","darkleft",1,419
6,"test.sc_dark.Darkbad","darkleft",1,495
6,"test.sc_dark.Darkbad","badleft",1,737
6,"test.sc_dark.Darkbad","goodright",1,467
6,"test.sc_dark.Darkbad","goodright",1,463
6,"test.sc_dark.Darkbad","badleft",1,611
6,"test.sc_dark.Darkbad","badleft",1,573
6,"test.sc_dark.Darkbad","goodright",1,598
6,"test.sc_dark.Darkbad","badleft",1,621
6,"test.sc_dark.Darkbad","darkleft",1,593
6,"test.sc_dark.Darkbad","darkleft",1,456
6,"test.sc_dark.Darkbad","badleft",1,610
6,"test.sc_dark.Darkbad","badleft",1,547
6,"test.sc_dark.Darkbad","goodright",1,432
6,"test.sc_dark.Darkbad","darkleft",1,527
6,"test.sc_dark.Darkbad","goodright",1,582
6,"test.sc_dark.Darkbad","goodright",1,535
6,"test.sc_dark.Darkbad","goodright",1,481
6,"test.sc_dark.Darkbad","goodright",1,576
6,"test.sc_dark.Darkbad","darkleft",1,505
6,"test.sc_dark.Darkbad","darkleft",1,438
6,"test.sc_dark.Darkbad","badleft",1,597
6,"test.sc_dark.Darkbad","badleft",1,692
6,"test.sc_dark.Darkbad","badleft",1,605
6,"test.sc_dark.Darkbad","badleft",1,524
6,"test.sc_dark.Darkbad","goodright",1,803
6,"test.sc_dark.Darkbad","goodright",1,641
6,"test.sc_dark.Darkbad","goodright",1,624
6,"test.sc_dark.Darkbad","darkleft",1,524
6,"test.sc_dark.Darkbad","goodright",1,795
6,"test.sc_dark.Darkbad","goodright",1,599
6,"test.sc_dark.Darkbad","badleft",1,830
6,"test.sc_dark.Darkbad","darkleft",1,562
6,"test.sc_dark.Darkbad","badleft",1,761
6,"test.sc_dark.Darkbad","badleft",1,599
6,"test.sc_dark.Darkgood","darkright",1,620
6,"test.sc_dark.Darkgood","goodright",1,773
6,"test.sc_dark.Darkgood","goodright",1,515
6,"test.sc_dark.Darkgood","goodright",1,391
6,"test.sc_dark.Darkgood","badleft",1,628
6,"test.sc_dark.Darkgood","goodright",1,520
6,"test.sc_dark.Darkgood","darkright",0,439
6,"test.sc_dark.Darkgood","goodright",1,1782
6,"test.sc_dark.Darkgood","darkright",0,561
6,"test.sc_dark.Darkgood","goodright",1,1512
6,"test.sc_dark.Darkgood","badleft",1,674
6,"test.sc_dark.Darkgood","badleft",1,582
6,"test.sc_dark.Darkgood","darkright",1,674
